Identifiant arc,Date debut dispo data,Date fin dispo data,Libelle,Identifiant noeud aval,Libelle noeud aval,Identifiant noeud amont,Libelle noeud amont,geo_point_2d long,geo_point_2d lat,geo_shape
78,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Pt_Neuf,70,Pt_Neuf-Marche_Neuf,61,Pt_Neuf_Gauche,48.8564225551524,2.340833823454406,"{""coordinates"": [[2.340525975862077, 48.856080742259245], [2.341141671046735, 48.85676436804555]], ""type"": ""LineString""}"
6864,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,St_Dominique,3414,Constantine-Saint_Dominique,3416,Av_Mal_Gallieni-St_Dominique,48.85995069881998,2.313981857422771,"{""coordinates"": [[2.313179591783673, 48.85994213360594], [2.314784123061869, 48.85995926403402]], ""type"": ""LineString""}"
5552,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Porte_Maillot,2910,Pte_Maillot-Bretelle_3,2909,Pte_Maillot-Av_de_Neuilly,48.877787309239345,2.281095211286451,"{""coordinates"": [[2.280968542881352, 48.87817350349509], [2.28122187969155, 48.877401114983584]], ""type"": ""LineString""}"
5248,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Bd_Pereire,2770,Pereire-Debarcadere,2769,Pte_Maillot-Pereire-Gouvion,48.87777697371462,2.284427476440124,"{""coordinates"": [[2.283920662385627, 48.87779524573484], [2.284385775658961, 48.87764360120103], [2.284898648153917, 48.878000466518515]], ""type"": ""LineString""}"
839,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Av_Pte_de_Choisy,485,Av_Pte_Choisy-Lachelier,486,Pte_Choisy-Verdun,48.8181135819753,2.36631948462904,"{""coordinates"": [[2.366992863132324, 48.81722857140882], [2.365646106125755, 48.81899859254178]], ""type"": ""LineString""}"
4876,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Taine,2595,Taine-Durance,3045,Pl_Felix_Eboue_Ouest,48.838964668061315,2.3936919204527114,"{""coordinates"": [[2.394291869697547, 48.83935806791281], [2.393091971207876, 48.83857126820981]], ""type"": ""LineString""}"
5470,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Pl_d'Italie,2681,Pl_d'Italie-Bd_Auguste_Blanqui,2672,Av_des_Gobelins-Pl_d'Italie,48.83186623037689,2.3552903589213154,"{""coordinates"": [[2.355381516095732, 48.83188716445299], [2.355199201746899, 48.83184529630077]], ""type"": ""LineString""}"
1308,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Bd_Richard_Lenoir,703,Richard_Lenoir-Oberkampf,717,Republique-Richard_Lenoir-Timbau,48.86480287818233,2.3700601818735616,"{""coordinates"": [[2.3694337862646933, 48.86562218761206], [2.37068657748243, 48.863983568752595]], ""type"": ""LineString""}"
4480,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Quai_Andre_Citroen,2387,Rond_Point_Mirabeau,2386,Quai_Andre-Citoen-Javel,48.846761048000126,2.2778467195838865,"{""coordinates"": [[2.2787565848874642, 48.84739479255545], [2.276936854280309, 48.8461273034448]], ""type"": ""LineString""}"
4476,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Quai_de_Grenelle,2385,Pl_Fernand_Forest,2384,Quai_de_Grenelle-TheItre,48.84937365905577,2.2815830122804925,"{""coordinates"": [[2.2816429538754512, 48.84941807432702], [2.281523070685534, 48.84932924378453]], ""type"": ""LineString""}"
